"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CXCR2P1",-0.326469374869215,4.24135873089028,-1.55373096834719,0.120892864291009,0.381725530267684,-4.78180340645226
"MAGEE1",-0.173027976554217,6.31740465940565,-1.5537228276965,0.12089480691814,0.381725530267684,-4.78181508530584
"ITGA2B",-0.297701118346153,3.48721438352701,-1.55369907732342,0.120900474678701,0.381725530267684,-4.78184915805044
"C20orf26",-0.311188290722388,3.0121325851399,-1.55314731546468,0.121032205177717,0.38182324162688,-4.78264058122302
"LINC00908",-0.253489782091991,3.01540419937266,-1.55308003284801,0.121048276282215,0.38182324162688,-4.78273706944994
"CCL3L1",-0.267862190048962,4.47319434093563,-1.55288683158368,0.12109443358376,0.38182324162688,-4.78301411129964
"TNFSF12-TNFSF13",-0.253297454390986,7.84050162409365,-1.55287503733844,0.12109725176896,0.38182324162688,-4.78303102260786
"DARC",-0.336364763372843,7.16058637893675,-1.55189512560816,0.121331577378046,0.382057696696993,-4.78443563587019
"IFT140",-0.148976205522829,9.17095383509378,-1.55169542289816,0.121379375756732,0.382057696696993,-4.78472178370351
"SEZ6L2",-0.258955121914743,10.4831974795801,-1.55159561579599,0.121403269890201,0.382057696696993,-4.78486478055523
"PAX3",0.157194787462988,0.395087380185107,1.55159559674999,0.121403274450225,0.382057696696993,-4.78486480784216
"MIR924HG",0.269685019054348,2.72880875236642,1.55157492224742,0.121408224452502,0.382057696696993,-4.78489442772996
"FSTL3",0.210838665979296,9.63384276604489,1.55152362104082,0.121420507951368,0.382057696696993,-4.78496792411045
"CAMKK1",-0.147641332652662,7.64777499962271,-1.55100610924281,0.121544474882366,0.382317149476294,-4.78570919995039
"AGTR2",-0.500478459666073,4.3019433256446,-1.55082957101488,0.121586786287866,0.382319665999061,-4.78596201458285
"HEPHL1",0.307726143445749,1.73716196733499,1.55049747230637,0.121666412613123,0.382439474459681,-4.78643752513049
"USH1G",0.311785185885948,1.90332582452856,1.54925328452226,0.121965091540552,0.383247524083414,-4.78821810073638
"LHX4",-0.162755408247775,2.54349857356486,-1.54895236211984,0.122037417055851,0.383344001051974,-4.78864854283133
"FKBP5",0.201547408882596,10.7031889533829,1.54831438388812,0.122190863833274,0.383695143506463,-4.78956083893452
"LINC02610",-0.254916423724718,2.9937888247211,-1.54688818821655,0.122534439987883,0.384642873990594,-4.79159892519647
"PCDHGA1",0.232492412694846,3.49004919833343,1.54605126127153,0.122736411227648,0.384922968712943,-4.79279405932392
"MGST1",0.195729297075367,12.3268600681309,1.54600600187735,0.122747340873026,0.384922968712943,-4.79285867162881
"CLDN18",-0.60204947234109,7.39282113543403,-1.54599892083888,0.122749050934844,0.384922968712943,-4.79286878034909
